,asin,brand,color,medium_image_url,product_type_name,title,formatted_price,digital
11905,B0749N2MJ5,viking ,white,https://images-na.ssl-images-amazon.com/images/I/31aOrDX5dML._SL160_.jpg,SHIRT,women crop tops clothings summer babygirl letter print short sleeve shirtwhite ,16.99,False
11906,B018AMMG3I,tavil ,yellow,https://images-na.ssl-images-amazon.com/images/I/41%2BSEfu2pRL._SL160_.jpg,SHIRT,skyblue 100 cotton mount st marys mountaineers shirts woman size ,8.46,False
11907,B073184L4N,rbwinner ,red,https://images-na.ssl-images-amazon.com/images/I/51ddPHd2-lL._SL160_.jpg,SHIRT,rbwinner women sexy shoulder floral print summer dress high waist beach short dress ,9.5,False
11908,B072LY3PJB,harlowe  graham ,blue,https://images-na.ssl-images-amazon.com/images/I/41BvULbx2aL._SL160_.jpg,SHIRT,harlowe  graham womens small scoopneck seamed blouse blue ,9.99,False
11909,B07548Q1G3,rbwinner ,sky blue,https://images-na.ssl-images-amazon.com/images/I/512kNKsl5RL._SL160_.jpg,SHIRT,sleeveless loose render printed chiffon unlined upper garment tank top ,4.32,False
11910,B01CAIIMOK,robert rodriguez ,purple,https://images-na.ssl-images-amazon.com/images/I/41QGwPQ-tCL._SL160_.jpg,SHIRT,robert rodriguez womens draped velvetleather bustier top deep purple 6 ,128.0,False
11911,B01MU437W8,karen scott ,white,https://images-na.ssl-images-amazon.com/images/I/41vtslYhhAL._SL160_.jpg,APPAREL,karen scott plus size top 1x short sleeve vneck white ,10.99,False
11912,B0711T9PSY,go couture ,purple,https://images-na.ssl-images-amazon.com/images/I/51%2Bwc4tnxWL._SL160_.jpg,SHIRT,go couture womens medium printed textured knit top purple ,11.97,False
11913,B01F0S9G6U,edwards garment ,blue,https://images-na.ssl-images-amazon.com/images/I/41h1DAt9-gL._SL160_.jpg,SHIRT,edwards garment womens 34 sleeve poplin blouse french blue xxxlarge ,29.19,False
11914,B01NA798YZ,disgear ,purple,https://images-na.ssl-images-amazon.com/images/I/41lXTU6fRdL._SL160_.jpg,SHIRT,disgear disney family characters adult ladies tshirt xlarge purple ,24.99,False
11915,B01FQ96TUO,qinol ,white,https://images-na.ssl-images-amazon.com/images/I/517W-J8%2BxqL._SL160_.jpg,SHIRT,qinol womens casual bohemian loose batwing sleeve tshirt tees blouse tops ,15.98,False
11916,B01K1VY2E2,elishaj ,black,https://images-na.ssl-images-amazon.com/images/I/51oSEms-w1L._SL160_.jpg,BOOKS_1973_AND_LATER,elishaj womens raglan baseball shirt mcr band danger days black size ,9.52,False
11917,B01IGN5LW4,solo ,white,https://images-na.ssl-images-amazon.com/images/I/41W%2BJhgLiuL._SL160_.jpg,BOOKS_1973_AND_LATER,womans izombie bone logo fashion soft shirts ,7.5,False
11918,B017N15BHK,zj clothes ,white,https://images-na.ssl-images-amazon.com/images/I/41G%2Bp7gm8RL._SL160_.jpg,SHIRT,zj clothes womens long sleeve shoulder plain batwing top rust xxxl ,4.29,False
11919,B00M6V2ATK,holloway ,"grey,pink",https://images-na.ssl-images-amazon.com/images/I/51SLNYsoKnL._SL160_.jpg,SHIRT,holloway juniors candid crew pouch pocketvintage greyvintage pink xlarge ,26.39,False
11920,B073ZDH4LH,brunello cucinelli ,blue,https://images-na.ssl-images-amazon.com/images/I/41iFj8LymgL._SL160_.jpg,SHIRT,brunello cucinelli top womens dark blue slim fit cotton casual ,235.99,False
11921,B01M69QNVH,lacoste ,tan,https://images-na.ssl-images-amazon.com/images/I/41reoHimi-L._SL160_.jpg,SHIRT,lacoste womens womens live voile sleeveless navy top size navy ,191.67,False
11922,B074ZM7RJZ,eileen fisher ,orange,https://images-na.ssl-images-amazon.com/images/I/31jrkvP5w%2BL._SL160_.jpg,SHIRT,eileen fisher 34sleeve highcollar doupioni silk blouse sizem ,168.0,False
11923,B01LWX1GT9,john paul richard ,jade green,https://images-na.ssl-images-amazon.com/images/I/41Ihg8IytNL._SL160_.jpg,SHIRT,john paul richard womens open front cable knit cardigan sweater green l ,5.02,False
11924,B01F89UWPK,binb ,"sky blue,blue",https://images-na.ssl-images-amazon.com/images/I/51Ww2Xa0isL._SL160_.jpg,BOOKS_1973_AND_LATER,womens drink know things quotes tshirt funny ,9.5,False
